"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
0 1.94370640473752 1 0.445 0 "0" "Cd74" "CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
2.78280341496917e-203 -0.922063872698335 0.063 0.476 5.24168851243594e-199 "0" "Anxa2" "annexin A2"
8.65718504420083e-187 -1.23555016431873 0.033 0.417 1.63066737492567e-182 "0" "Cd9" "CD9 antigen"
4.05219087317496e-175 -1.35211958882033 0.106 0.48 7.63270672871236e-171 "0" "Ctsd" "cathepsin D"
9.99385603521499e-158 -0.866724636875131 0.125 0.481 1.8824427227931e-153 "0" "Selenop" "selenoprotein P"
9.74253620740259e-152 -1.52376432993562 0.173 0.5 1.83510412002635e-147 "0" "Sparc" "secreted acidic cysteine rich glycoprotein"
1.63387283348812e-142 -0.834171052219819 0.111 0.443 3.07756286915823e-138 "0" "Ctsb" "cathepsin B"
3.8152379271154e-137 -1.10677670039102 0.064 0.377 7.18638215951456e-133 "0" "Lgals1" "lectin, galactose binding, soluble 1"
2.47767294125866e-133 -0.916974399485287 0.254 0.569 4.66694475215481e-129 "0" "Prdx1" "peroxiredoxin 1"
7.93189247841007e-124 -0.630192326477776 0.166 0.476 1.49405126723332e-119 "0" "Bsg" "basigin"
7.20396619243006e-122 -1.37366331866086 0.429 0.682 1.35693907200613e-117 "0" "LOC100862446" NA
8.37303084521205e-110 -1.16949054127352 0.012 0.268 1.57714409000414e-105 "0" "Fcer1g" "Fc receptor, IgE, high affinity I, gamma polypeptide"
3.6220227744019e-103 -0.969947411605608 0.009 0.252 6.82244209786342e-99 "0" "Fabp5" "fatty acid binding protein 5, epidermal"
9.41263862374195e-96 -0.810203307906946 0.042 0.284 1.77296461116803e-91 "0" "Igfbp7" "insulin-like growth factor binding protein 7"
3.75661355557496e-85 -0.833228054117998 0.125 0.36 7.075957293281e-81 "0" "Cd44" "CD44 antigen"
2.16714489999278e-82 -0.630828986933561 0.098 0.327 4.08203413362641e-78 "0" "Csrp1" "cysteine and glycine-rich protein 1"
4.74938715638603e-81 -1.29939469615408 0.456 0.648 8.94594564776872e-77 "0" "Cst3" "cystatin C"
1.52164406358454e-74 -0.952341232200503 0.117 0.331 2.86616875816783e-70 "0" "S100a6" "S100 calcium binding protein A6 (calcyclin)"
3.27616582842798e-74 -4.07925443036836 0.117 0.33 6.17098595442694e-70 "0" "Hbb-bs" "hemoglobin, beta adult s chain"
1.55619196558314e-67 -0.691730420849831 0.1 0.299 2.93124318637241e-63 "0" "Sgk1" "serum/glucocorticoid regulated kinase 1"
3.90913763689145e-63 -0.752150410594922 0.166 0.37 7.36325165284873e-59 "0" "Gm38733" NA
