"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
7.93189247841007e-124 -0.630192326477776 0.166 0.476 1.49405126723332e-119 "0" "Bsg" "basigin"
3.47752468554963e-51 -0.435932723590193 0.429 0.608 6.55026549770128e-47 "0" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
4.51471436242892e-22 -0.356308066258246 0.305 0.409 8.50391597307112e-18 "0" "Taldo1" "transaldolase 1"
1.97377890845713e-67 -0.601988794164603 0.198 0.459 3.71780995196984e-63 "1" "Bsg" "basigin"
1.66717989326419e-46 -0.530294280828646 0.39 0.602 3.14030004695242e-42 "2" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
8.54738511066504e-32 -0.46977707047089 0.233 0.409 1.60998545944487e-27 "2" "Taldo1" "transaldolase 1"
1.29975633908187e-08 -0.265067784514309 0.377 0.444 0.000244822104029461 "2" "Bsg" "basigin"
0 1.04055002760138 0.965 0.399 0 "3" "Bsg" "basigin"
0 0.788793679176573 0.603 0.053 0 "3" "Me1" "malic enzyme 1, NADP(+)-dependent, cytosolic"
0 0.664612309843512 0.571 0.074 0 "3" "Ldhb" "lactate dehydrogenase B"
1.96797564858493e-29 -0.498473600669115 0.255 0.407 3.70687893167458e-25 "3" "Taldo1" "transaldolase 1"
1.10295373298122e-36 -0.578345187608262 0.186 0.45 2.07752365144342e-32 "4" "Bsg" "basigin"
1.2611536346962e-06 -0.270603752750444 0.52 0.59 0.0237550898631376 "4" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
9.08466145925891e-30 -0.582345674265544 0.357 0.595 1.71118683246601e-25 "5" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
1.13459685166938e-22 -0.531730598676061 0.191 0.404 2.13712662980444e-18 "5" "Taldo1" "transaldolase 1"
1.84667856651778e-07 -0.312831748553719 0.349 0.442 0.00347840374789289 "5" "Bsg" "basigin"
0 0.542587250991454 0.388 0.023 0 "6" "Slc16a3" "solute carrier family 16 (monocarboxylic acid transporters), member 3"
1.38818563650047e-118 0.831891599833204 0.862 0.38 2.61478646491228e-114 "6" "Taldo1" "transaldolase 1"
1.67297282872886e-34 0.407105247757374 0.815 0.579 3.15121162019368e-30 "6" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
1.20994202526507e-14 -0.424545385994458 0.292 0.444 2.27904679878929e-10 "6" "Bsg" "basigin"
4.66373616326894e-125 0.733348393833579 0.381 0.071 8.78461343713337e-121 "7" "Bpgm" "2,3-bisphosphoglycerate mutase"
5.28905728885451e-152 0.499832633909543 0.462 0.08 9.96246830928636e-148 "8" "Me1" "malic enzyme 1, NADP(+)-dependent, cytosolic"
8.59956406577229e-101 0.463139300808148 0.433 0.098 1.61981388742887e-96 "8" "Ldhb" "lactate dehydrogenase B"
1.20042353867372e-97 0.743223235245296 0.873 0.425 2.26111777744582e-93 "8" "Bsg" "basigin"
5.30855406826132e-168 0.582714266050586 0.449 0.07 9.99919244297702e-164 "9" "Pfkfb3" "6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
1.63347801689518e-51 -0.829570460705154 0.243 0.598 3.07681919262377e-47 "9" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
3.88587951371022e-29 -0.630702074384428 0.139 0.405 7.31944265202456e-25 "9" "Taldo1" "transaldolase 1"
1.12562051315538e-54 0.370469966626052 0.292 0.076 2.12021879857948e-50 "10" "Pfkfb3" "6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
6.49980589978062e-33 -0.653914212811978 0.3 0.595 1.22430343928268e-28 "10" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
2.48447675061196e-21 -0.548360692660279 0.176 0.403 4.67976040745268e-17 "10" "Taldo1" "transaldolase 1"
3.97936196855023e-11 -0.392166198944149 0.295 0.443 7.49552620396122e-07 "11" "Bsg" "basigin"
1.0943098804703e-27 -0.574880124966646 0.174 0.447 2.06124209085385e-23 "12" "Bsg" "basigin"
1.5836761758973e-11 -0.396747137438575 0.445 0.591 2.98301244492015e-07 "12" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
1.11940283730529e-227 1.47749732685379 1 0.38 2.10850718434825e-223 "13" "Taldo1" "transaldolase 1"
6.55478994566235e-159 1.26954958109024 0.989 0.576 1.23466023416496e-154 "13" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
1.85375740688626e-06 -0.35898960320934 0.367 0.441 0.0349173745161096 "13" "Bsg" "basigin"
1.4535191446796e-12 0.359088518008747 0.741 0.583 2.73784866091849e-08 "14" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
1.40692692329961e-10 -0.421118610077523 0.308 0.443 2.65008755272715e-06 "14" "Bsg" "basigin"
2.26959945164325e-157 1.16021963189651 0.942 0.382 4.27501752711522e-153 "15" "Taldo1" "transaldolase 1"
6.21815262546817e-39 0.451457416891634 0.896 0.578 1.17125122853318e-34 "15" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
4.67424115376331e-13 -0.4550631798359 0.283 0.443 8.80440063722858e-09 "15" "Bsg" "basigin"
1.05763540354391e-37 0.299180870263883 0.265 0.076 1.99216204611531e-33 "16" "Bpgm" "2,3-bisphosphoglycerate mutase"
1.70748423360216e-20 0.352057087765363 0.666 0.433 3.21621730241303e-16 "16" "Bsg" "basigin"
4.34139621794764e-122 1.09314154564237 0.887 0.384 8.17745391612617e-118 "17" "Taldo1" "transaldolase 1"
3.65514073241899e-97 1.06225512459922 0.899 0.579 6.88482308358441e-93 "17" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
3.15499374336367e-42 0.275954612363074 0.316 0.086 5.94274621499981e-38 "18" "Me1" "malic enzyme 1, NADP(+)-dependent, cytosolic"
2.4462858810048e-16 -0.559272684282994 0.194 0.401 4.60782408546065e-12 "18" "Taldo1" "transaldolase 1"
2.2665492661783e-12 -0.463850328901708 0.44 0.59 4.26927219777345e-08 "19" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
1.15465637607418e-70 0.963249721319362 0.869 0.431 2.17491074997333e-66 "20" "Bsg" "basigin"
8.3847766901583e-17 0.369134993809751 0.81 0.583 1.57935653735822e-12 "20" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
9.41472984095004e-35 0.762990687613796 0.86 0.582 1.77335851284135e-30 "21" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
8.03433821481954e-11 -0.509350335227224 0.257 0.442 1.51334794614341e-06 "22" "Bsg" "basigin"
1.00164905889032e-88 1.55117938419565 0.953 0.432 1.88670616732582e-84 "24" "Bsg" "basigin"
8.7759670550103e-65 1.13012925976144 0.922 0.39 1.65304115448174e-60 "25" "Taldo1" "transaldolase 1"
1.14876326820274e-57 1.21432202134173 0.968 0.582 2.16381049198668e-53 "25" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
5.22182702090407e-08 -0.525653903575851 0.388 0.589 0.000983583337657491 "27" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
8.28748324263408e-12 -0.661891268015143 0.318 0.589 1.56103034358256e-07 "28" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
6.75082513969041e-07 -0.508745311806114 0.202 0.398 0.0127158542331209 "28" "Taldo1" "transaldolase 1"
6.99308020627211e-172 0.574745053457758 0.341 0.014 1.31721658765341e-167 "29" "Hk3" "hexokinase 3"
2.41232782587399e-93 0.655994900066524 0.374 0.033 4.54386069281625e-89 "29" "Slc16a3" "solute carrier family 16 (monocarboxylic acid transporters), member 3"
